1;Kondome;5.00
2;Fleisch;170.00
3;Lutscher;0.50
4;Schreibtisch;320.00
5;TV;1199.00
6;Orangen;5.13
7;Äpfel;6.07
8;Bananen;8.99
9;Blattsalat;1.98
10;Tomaten;7.14
11;Kürbis;6.54
12;Sellerie;7.05
13;Gurken;5.71
14;Pilze;1.72
15;Milch ;6.57
16;Käse;7.26
17;Eier;6.59
18;Quark;6.79
19;Saure Sahne;0.29
20;Joghurt;0.38
21;Rindfleisch;0.96
22;Geflügel;7.23
23;Schinken;1.95
24;Meeresfrüchte;7.67
25;Belag;3.32
26;Mineralwasser;8.53
27;Saft;7.21
28;Kaffee;2.13
29;Tee;0.81
30;Wasser;1.20
31;Teigwaren;6.37
32;Reis;5.17
33;Dosennahrung;6.96
34;Müsli;8.01
35;Brot;1.74
36;Bagels;8.20
37;Muffins;0.21
38;Kuchen;7.11
39;Chips;6.60
40;Brezeln;0.06
41;Eis;9.36
42;Cookies;6.26
43;Papierteller;6.24
44;Servietten;1.27
45;Müllbeutel;4.27
46;Waschmittel;6.48
47;Ananassaft;0.04
48;Anistee;6.94
49;Apfelfruchtsaftgetränk;8.86
50;Apfelsaft, grüner Apfel;8.05
51;Apfelsaft, roter Apfel;5.17
52;Apfelschorle;5.65
53;Aronia-Nektar, (Schwarze Eberesche, Apfelbeeren);3.88
54;Bananensaft (Muttersaft);5.25
55;Bier, Pils, alkoholfrei;8.56
56;Birnennektar;4.74
57;Birnensaft;5.56
58;Bitter Lemon (Bitterlimonade);8.69
59;Brennnesseltee;2.52
60;Brombeersaft (Muttersaft);0.20
61;Brottrunk;1.46
62;Bubble Tea;2.93
63;Cappuccino (ohne Zucker);9.91
64;Chai Latte (Chaitee mit Milch);4.87
65;Cola-Mixgetränk, Spezi (Cola + Limonade);7.26
66;Colagetränk, light;1.80
67;Colagetränk;3.98
68;Diätnektar mit Süßstoff;9.68
69;Dinkelmilch (Dinkeldrink);4.35
70;Eistee (Eis-Tee, Ice tea);7.14
71;Eiweiß-Shake, Protein-Shake, Eiweiß-Drink (Diätmittel; Durchschnittswerte);9.28
72;Energie Drink;4.67
73;Energie Drink light zuckerfrei;6.66
74;Espresso, schwarz;4.12
75;Fencheltee;4.37
76;Fruchtsaftgetränke aus Beerenobst;3.65
77;Fruchtsaftgetränke aus Kernobst;9.05
78;Fruchtsaftgetränke aus Steinobst;7.83
79;Fruchtsaftgetränke aus Traubensaft;3.56
80;Fruchtsaftgetränke aus Zitrusfrüchten;0.65
81;Gemüsesaft;8.76
82;Ginger Ale (Ingwerlimonade);5.33
83;Grapefruitsaft, Pampelmusensaft;2.44
84;Gurkensaft;8.84
85;Hafermilch (Haferdrink);1.19
86;Hagebuttentee;9.41
87;Himbeersaft;5.72
88;Holundersaft (mit 2% Säure);3.05
89;Ingwertee;4.04
90;Johannisbeernektar;2.24
91;Johannisbeersaft;3.88
92;Kaffee (Instantkaffee, Pulverkaffee), schwarz (fertig zubereitet);5.65
93;Kaffee mit Milch (Milchkaffee);6.31
94;Kaffee-Ersatz, schwarz;1.93
95;Kaffee, schwarz;3.95
96;Kamillentee;3.94
97;Kinder-Glühwein (alkoholfrei, dennoch nicht empfehlenswert!);2.43
98;Kinderpunsch (alkoholfrei, dennoch nicht empfehlenswert!);4.12
99;Kirschsaft;1.54
100;Kokosmilch, Kokossaft, Kokosnussmilch, Kokosnusssaft;4.01
101;Kombucha-Gärgetränk (Teepilz);8.15
102;Kranbeerensaft light, Cranberrysaft light, Moosbeerensaft light;2.32
103;Kranbeerensaft, Cranberrysaft, Moosbeerensaft;9.64
104;Kümmeltee;1.18
105;Latte Macchiato (Milchkaffee, Cafe Latte, Cafe au lait, Kaffee verkehrt, Schale, Cafe con leche, Cafe cortado);8.86
106;Limonade, Brause, Sprudel, Kracherl (Zitronenlimonade, Orangenlimonade, Kräuterlimonade);6.45
107;Limonade light;1.34
108;Limonensaft, Limettensaft pur;2.23
109;Lindenblütentee;4.80
110;Lupinenkaffee, Kaffeeersatz, schwarz;9.93
111;Malventee, Hisbiscustee;1.96
112;Malzbrause, Fassbrause;6.57
113;Malzkaffee mit Milch;2.08
114;Malzkaffee, schwarz;0.18
115;Malztrunk (Malzbier);6.41
116;Mandelmilch (Mandeldrink);2.31
117;Lebensmittel-Nährwerte (pro 100 g);8.92
118;Mangosaft;0.29
119;Milchmixgetränk, Milkshake, Milchshake, Milchdrink, Milchgetränk (mit Süßstoff);2.14
120;Milchmixgetränk, Milkshake, Milchshake, Milchdrink, Milchgetränk (zuckerhaltig);2.46
121;Mineralwasser, Sprudelwasser ohne Geschmack;8.12
122;Möhrensaft (Karottensaft, Mohrrübensaft, Rüblisaft, Rüeblisaft);0.81
123;Morasaft 50%ig, Andenbrombeere, Andenbeere (Rubus glaucus);7.00
124;Multivitamin-Nektar (Multi-Vitamin-Nektar, Multivitaminnektar);7.62
125;Multivitamin-Saft (Multi-Vitamin-Saft, Multivitaminsaft);4.38
126;Orangensaft (O-Saft);8.26
127;Orangensaftnektar;5.25
128;Orangensaftnektar mit Süßstoff;2.54
129;Pfefferminztee;0.04
130;Reismilch (Reisdrink);9.28
131;Rosenwasser;3.16
132;Rotbuschtee, Roibostee, Rooibostee;8.79
133;Salbeitee;2.44
134;Sanddornsaft, Sandbeerensaft, Roter Schlehensaft;8.42
135;Sauerkirschsaft;1.78
136;Sauerkrautsaft;3.72
137;Schwarzer Johannisbeersaft;5.07
138;Sojamilch (Soyamilch);1.12
139;Tee, Früchtetee;6.37
140;Tee, grün, ohne Zucker (Grüner Tee, Grüntee);2.12
141;Tee, Kräutertee;2.76
142;Tee, Mate grün /geröstet;6.14
143;Tee, schwarz, aromatisiert, ohne Zucker (Schwarzer Tee, Schwarztee, Earl Grey, Black Currant usw.);8.58
144;Tee, schwarz, ohne Zucker (Schwarzer Tee, Schwarztee);9.64
145;Tee, weiß, ohne Zucker (Weißer Tee, Weißtee);0.07
146;Thymiantee;3.67
147;Tomatensaft;9.41
148;Tonic Water;5.92
149;Traubensaft;0.36
150;Wasser, Quellwasser, Leitungswasser, Stilles Wasser;2.72
151;Weißwein, lieblich, alkoholfrei;2.65
152;Weizenbier alkoholfrei (Weiße, Weißbier, Hefeweizenbier, Hefeweißbier);1.56
153;Zitronensaft;5.01
154;Zitrussaftgetränk;7.48
155;Blockschokolade, Backschokolade, Kochschokolade;0.71
156;Brausepulver (Himbeere, Orange, Waldmeister, Zitrone, 1 Tütchen etwa 6 Gramm, also ca. 20 kcal);1.84
